"","Taxon","Genus","Hybrid.marker","Species","Abbrev","Infraspecific.rank","Infraspecific","Authority","ID","Plant.Name.Index","TPL.version","Taxonomic.status","Family","New.Genus","New.Hybrid.marker","New.Species","New.Infraspecific.rank","New.Infraspecific","New.Authority","New.ID","New.Taxonomic.status","Typo","WFormat","Higher.level","Date"
"2304","lilium formosanum","lilium","","formosanum",NA,NA,"","","kew-293214",TRUE,"1.1","Accepted","Liliaceae","Lilium","","formosanum","","","Wallace","kew-293214","Accepted",FALSE,FALSE,FALSE,2019-08-12
"2305","coreopsis lancealata","coreopsis","","lancealata",NA,NA,"","","gcc-144980",TRUE,"1.1","Accepted","Compositae","Coreopsis","","lanceolata","","","L.","gcc-144980","Accepted",TRUE,FALSE,FALSE,2019-08-12
"2306","gregg’s mist","gregg’s","","mist",NA,NA,"","","",FALSE,"1.1","","","gregg’s","","mist",NA,"","","","",FALSE,FALSE,FALSE,2019-08-12
"2307","monarda dyma l.","monarda","","dyma",NA,NA,"l.","","kew-129179",TRUE,"1.1","Synonym","Lamiaceae","Monarda","","didyma","","","L.","kew-129178","Accepted",TRUE,FALSE,FALSE,2019-08-12
"2308","anisacanthus quadrifidus","anisacanthus","","quadrifidus",NA,NA,"","","kew-2640117",TRUE,"1.1","Accepted","Acanthaceae","Anisacanthus","","quadrifidus","","","(Vahl) Nees","kew-2640117","Accepted",FALSE,FALSE,FALSE,2019-08-12
"2309","salvia x sylvestris ' .","salvia","×","sylvestris",NA,NA,"","' .","kew-183961",TRUE,"1.1","Accepted","Lamiaceae","Salvia","×","sylvestris","","","L.","kew-183961","Accepted",FALSE,FALSE,FALSE,2019-08-12
"2310","coreopsis red and yellow","coreopsis","","red",NA,NA,"yellow","and","",FALSE,"1.1","","","coreopsis","","red",NA,"yellow","","","",FALSE,FALSE,FALSE,2019-08-12
"2311","pentas lanceolata","pentas","","lanceolata",NA,NA,"","","kew-149975",TRUE,"1.1","Accepted","Rubiaceae","Pentas","","lanceolata","","","(Forssk.) Deflers","kew-149975","Accepted",FALSE,FALSE,FALSE,2019-08-12
"2312","coreopsis verticillata zagreb","coreopsis","","verticillata",NA,NA,"zagreb","","gcc-78581",FALSE,"1.1","Accepted","Compositae","Coreopsis","","verticillata","","","L.","gcc-78581","Accepted",FALSE,FALSE,TRUE,2019-08-12
"2313","helianthus annus","helianthus","","annus",NA,NA,"","","gcc-42117",TRUE,"1.1","Synonym","Compositae","Helianthus","","petiolaris","var.","canescens","A.Gray","gcc-2678","Accepted",TRUE,FALSE,FALSE,2019-08-12
"2314","echinacea magnus","echinacea","","magnus",NA,NA,"","","",FALSE,"1.1","","","echinacea","","magnus",NA,"","","","",FALSE,FALSE,FALSE,2019-08-12
"2315","echinacea paradoxa","echinacea","","paradoxa",NA,NA,"","","gcc-118238",TRUE,"1.1","Accepted","Compositae","Echinacea","","paradoxa","","","(Norton) Britton","gcc-118238","Accepted",FALSE,FALSE,FALSE,2019-08-12
"2316","campsis radicans","campsis","","radicans",NA,NA,"","","kew-320348",TRUE,"1.1","Accepted","Bignoniaceae","Campsis","","radicans","","","(L.) Seem.","kew-320348","Accepted",FALSE,FALSE,FALSE,2019-08-12
"2317","calaminthenepeta ssp. nepeta","calaminthenepeta","","nepeta",NA,"ssp.","","","",FALSE,"1.1","","","calaminthenepeta","","nepeta","ssp.","","","","",FALSE,FALSE,FALSE,2019-08-12
"2318","asclepias incarnata","asclepias","","incarnata",NA,NA,"","","kew-2654856",TRUE,"1.1","Accepted","Apocynaceae","Asclepias","","incarnata","","","L.","kew-2654856","Accepted",FALSE,FALSE,FALSE,2019-08-12
"2319","caesalpinia pulcherrima","caesalpinia","","pulcherrima",NA,NA,"","","ild-949",TRUE,"1.1","Accepted","Leguminosae","Caesalpinia","","pulcherrima","","","(L.) Sw.","ild-949","Accepted",FALSE,FALSE,FALSE,2019-08-12
"2320","perovskia atriplicifolia","perovskia","","atriplicifolia",NA,NA,"","","kew-150582",TRUE,"1.1","Accepted","Lamiaceae","Perovskia","","atriplicifolia","","","Benth.","kew-150582","Accepted",FALSE,FALSE,FALSE,2019-08-12
"2321","phlox paniculata","phlox","","paniculata",NA,NA,"","","tro-25800423",TRUE,"1.1","Accepted","Polemoniaceae","Phlox","","paniculata","","","L.","tro-25800423","Accepted",FALSE,FALSE,FALSE,2019-08-12
"2322","lantana","lantana","",NA,NA,NA,"","","",FALSE,"1.1","","","lantana","",NA,NA,"","","","",FALSE,FALSE,FALSE,2019-08-12
